Comment,Designator,Footprint,LCSC
100n,C1,C_0805_HandSoldering,
100n,C2,C_0805_HandSoldering,
100n,C3,C_0805_HandSoldering,
100n,C4,C_0805_HandSoldering,
100n,C5,C_0805_HandSoldering,
1k,R1,R_0805_HandSoldering,
2k,R2,R_0805_HandSoldering,
4k,R3,R_0805_HandSoldering,
8k,R4,R_0805_HandSoldering,
470,R5,R_0805_HandSoldering,
390,R6,R_0805_HandSoldering,
75,R7,R_0805_HandSoldering,
75,R8,R_0805_HandSoldering,
1k,R9,R_0805_HandSoldering,
2k,R10,R_0805_HandSoldering,
4k,R11,R_0805_HandSoldering,
8k,R12,R_0805_HandSoldering,
470,R13,R_0805_HandSoldering,
390,R14,R_0805_HandSoldering,
75,R15,R_0805_HandSoldering,
75,R16,R_0805_HandSoldering,
1k,R17,R_0805_HandSoldering,
2k,R18,R_0805_HandSoldering,
4k,R19,R_0805_HandSoldering,
8k,R20,R_0805_HandSoldering,
470,R21,R_0805_HandSoldering,
390,R22,R_0805_HandSoldering,
75,R23,R_0805_HandSoldering,
75,R24,R_0805_HandSoldering,
1k,R25,R_0805_HandSoldering,
220,R26,R_0805_HandSoldering,
27k,R27,R_0805_HandSoldering,
150,R28,R_0805_HandSoldering,
75,R29,R_0805_HandSoldering,
90.9k,R30,R_0805_HandSoldering,
37.4k,R31,R_0805_HandSoldering,
13.3k,R32,R_0805_HandSoldering,
6.04k,R33,R_0805_HandSoldering,
37.4k,R34,R_0805_HandSoldering,
19.6k,R35,R_0805_HandSoldering,
220,R36,R_0805_HandSoldering,
36,R37,R_0805_HandSoldering,
36,R38,R_0805_HandSoldering,
75,R39,R_0805_HandSoldering,
2N3904,Q1,2N3904_2N3906_SOT-23,
2N3904,Q2,2N3904_2N3906_SOT-23,
2N3904,Q3,2N3904_2N3906_SOT-23,
2N3904,Q4,2N3904_2N3906_SOT-23,
2N3904,Q5,2N3904_2N3906_SOT-23,
2N3906,Q6,2N3904_2N3906_SOT-23,
Conn_01x22,J1,Pin_Header_Straight_1x22_Pitch2.54mm,
